maker_id,maker_name
1,ACURA
2,ALFA ROMEO
3,AUDI
4,AZURE DYNAMICS
5,BENTLEY
6,BMW
7,BRIGHTDROP
8,CADILLAC
9,CHEVROLET
10,CHRYSLER
11,DODGE
12,FIAT
13,FISKER
14,FORD
15,GENESIS
16,GMC
17,HONDA
18,HYUNDAI
19,JAGUAR
20,JEEP
21,KIA
22,LAMBORGHINI
23,LAND ROVER
24,LEXUS
25,LINCOLN
26,LUCID
27,MAZDA
28,MERCEDES-BENZ
29,MINI
30,MITSUBISHI
31,MULLEN AUTOMOTIVE INC.
32,NISSAN
33,POLESTAR
34,PORSCHE
35,RAM
36,RIVIAN
37,ROLLS-ROYCE
38,SMART
39,SUBARU
40,TESLA
41,TH!NK
42,TOYOTA
43,VINFAST
44,VOLKSWAGEN
45,VOLVO
46,WHEEGO ELECTRIC CARS
